Google ID,SharePoint Path
1odvbcDt7WDWWJF3bXrdxZ6Fqxj4yBcGL,/sites/Etabeta-ERP/Shared Documents/Deals/Velopad - seed
1-7gwsr5M-f-jgxw79a6SWRweyR476q__,/sites/Etabeta-ERP/Shared Documents/Deals/Mentorist - seed
1YT10OuEurxt63ZvvghpvIHTBpMJZ6SfG,/sites/Etabeta-ERP/Shared Documents/Deals/Whoo app - seed
11JI8Cwk6JjDYZhvNnMw7Qo_Ymihpy1KX,/sites/Etabeta-ERP/Shared Documents/Deals/Ittinsect - seed
1-6bHeTyQBKn_FbM6gTKlAGlO2oIYBIZl,/sites/Etabeta-ERP/Shared Documents/Deals/Ventuno - seed
1E-CoFg6egK4eMo-dRlUA1rC_inbX0ya6,/sites/Etabeta-ERP/Shared Documents/Deals/ONFIT - seed
1Umin6kcJPyvwck4PNZjctNemu7l7DfSm,/sites/Etabeta-ERP/Shared Documents/Deals/KidStart LTD - seed
1Q4HdGLrLfbj-6IfFbXrb82hKuHjXIsPb,/sites/Etabeta-ERP/Shared Documents/Deals/Quantum Aviation - seed
1dojaOqeEJ8UGhKnd3ksnbA7EHk_eA8yF,/sites/Etabeta-ERP/Shared Documents/Deals/GrakGrak Cargo - seed
1vonVQ3iDo1Nefydkm3xVGR6EdoSF3jpm,/sites/Etabeta-ERP/Shared Documents/Deals/Cooler Future - series A
1rP-GbA8GS0EjtJ4sbvsID0Uu9m4w8if8,/sites/Etabeta-ERP/Shared Documents/Deals/SlowSud - seed
1FQtED_1pPIqeeMxSStRaYek2i_1U4Gff,/sites/Etabeta-ERP/Shared Documents/Deals/USkin - seed
1fdSGs3Cn7GOdJomnEaKwkq3bc4tKW8qY,/sites/Etabeta-ERP/Shared Documents/Deals/ViWA CONTENTS - seed
1h4G-ird_XMGWnpNuZcwPiagE3--Lnsld,/sites/Etabeta-ERP/Shared Documents/Deals/Sustainable Brand Platform - seed
